id,lat,lon,generation,fuel
299,38.4889,-112.8533,274996,geothermal
301,32.7958,-116.9722,977,naturalgas
302,33.1361,-117.3364,540007,naturalgas
303,32.834,-117.1338,23880,naturalgas
305,32.8761,-117.1664,5308,naturalgas
313,56.986284,-135.12275,70792,water
314,32.673097,-115.392026,11793,water
315,33.7688,-118.1009,1369722,naturalgas
316,34.0969,-118.4795,3,water
317,37.2042,-119.2396,151124,water
318,37.2,-119.3069,140967,water
319,37.148517,-119.386623,302929,water
320,37.139,-119.4898,133078,water
321,37.2096,-119.3289,105736,water
322,37.200062,-119.30681,207249,water
323,37.273581,-118.573339,15118,water
324,37.301962,-118.531957,15001,water
325,37.323035,-118.501714,25145,water
326,37.3344,-118.4797,6091,water
327,37.3499,-118.4628,6753,water
328,35.588069,-118.524804,209,water
330,33.909804,-118.424172,180713,naturalgas
331,34.09118,-117.52663,212625,naturalgas
332,34.155162,-117.397119,1916,water
335,33.6439,-117.9792,912234,naturalgas
336,36.461326,-118.87988,4435,water
337,36.465066,-118.862023,3559,water
338,36.486059,-118.835645,6761,water
339,35.776185,-118.436233,368,water
340,35.460303,-118.77959,101689,water
341,33.7641,-118.2248,20383,naturalgas
342,38.042729,-119.172015,4324,water
344,37.220302,-119.337983,217263,water
345,34.2067,-119.2511,146705,naturalgas
350,34.1292,-119.1689,228795,naturalgas
353,37.944237,-119.2161,21226,water
354,37.257045,-119.158936,22880,water
356,33.8504,-118.395,249851,naturalgas
357,37.766954,-119.123284,22177,water
358,34.0818,-117.2418,6172663,naturalgas
361,34.14522,-117.058481,513,water
363,34.107245,-117.099091,1777,water
365,36.13568,-118.788868,6693,water
371,46.4711,-119.3339,9497321,nuclear
376,38.2569,-120.8507,25634,water
377,34.1556,-118.2782,159274,naturalgas
378,47.287206,-93.498266,2524,water
380,37.896649,-119.9675,428782,water
381,37.809388,-120.299254,287852,water
382,37.877667,-119.953233,312936,water
384,41.494636,-88.123827,5061426,naturalgas
385,32.705435,-115.030975,45567,water
386,32.705428,-115.126103,41178,water
387,32.705341,-115.219067,96166,water
388,32.736642,-114.713858,22206,water
389,32.802222,-115.54,1165974,naturalgas
390,61.0828,-146.3033,54955,water
391,37.142795,-118.324075,9526,water
392,34.587237,-118.656638,183638,water
393,37.437921,-118.556988,2831,water
394,36.443421,-118.04389,1563,water
396,34.318248,-118.494449,19917,water
397,34.103931,-118.413377,4,water
398,36.109722,-117.956667,3536,water
399,33.7856,-118.2644,106510,naturalgas
400,33.764741,-118.09913,2941084,naturalgas
401,37.51,-118.569167,22082,water
402,37.41416,-118.523889,2018,water
403,34.260527,-118.385531,28,water
404,33.918151,-118.427648,1133912,naturalgas
406,63.3367,-142.9856,8902,petroleum
407,37.546036,-118.590001,27323,water
408,34.244991,-118.391327,1566552,naturalgas
409,37.584345,-120.26859,77225,water
410,37.522065,-120.31009,11144,water
412,39.177903,-120.890856,59831,water
413,39.2184,-120.8352,19912,water
414,38.202569,-120.076983,15182,water
415,38.246656,-120.034072,134635,water
416,37.876111,-120.605,91491,water
417,39.551012,-121.278784,58149,water
418,39.531784,-121.491247,33070,water
419,39.553811,-121.204077,89001,water
420,34.1254,-118.148,64791,naturalgas
421,55.4764,-133.1483,306,petroleum
422,34.126,-118.1494,33607,naturalgas
423,55.2081,-132.8267,13,petroleum
424,39.077971,-120.406069,21280,water
425,39.024801,-120.596383,270448,water
426,39.003372,-120.746651,14509,water
427,39.000999,-120.725053,200529,water
428,37.477838,-120.444492,3047,water
430,38.82881,-120.537089,153928,water
431,38.83405,-120.53176,242172,water
432,38.982697,-120.324503,55822,water
433,38.896511,-120.378292,24230,water
435,38.765336,-120.787366,216343,water
436,34.2056,-117.3344,216054,water
437,39.542985,-121.492188,652588,water
439,37.695994,-120.420152,155818,water
440,37.6697,-120.4436,7657,water
441,38.70675,-121.158443,185147,water
442,40.646934,-122.626973,338338,water
443,40.611858,-122.446441,284273,water
444,38.63735,-121.220198,26149,water
445,40.717455,-122.422274,1012933,water
446,37.098671,-121.047718,5735,water
447,34.295334,-114.140222,448589,water
448,37.0692,-121.0772,142409,water
450,40.628115,-122.467509,283446,water
451,40.797296,-122.762553,279059,water
454,39.330833,-121.191666,538803,water
455,39.238996,-121.270409,94716,water
457,33.166111,-117.016667,562,water
460,38.2667,-104.6144,316,petroleum
464,37.4594,-105.8947,1866,naturalgas
466,40.004725,-105.332495,19615,water
467,39.6551,-105.7088,159359,water
469,39.807275,-104.964548,3075374,naturalgas
470,38.2081,-104.5747,8289783,naturalgas
471,39.1364,-108.7347,129,naturalgas
472,39.6919,-105.6978,6165,water
473,39.101667,-108.345556,13448,water
474,38.53419,-106.182003,2152,water
476,39.57013,-107.226876,66015,water
477,40.0195,-105.202,1048991,naturalgas
478,39.737348,-105.016991,980,naturalgas
479,33.8343,-117.4971,16144,water
480,33.85895,-117.6106,14259,water
481,33.8361,-117.1831,3,water
482,34.004722,-118.09917,1003,water
483,33.92493,-117.95517,7784,water
484,33.3944,-117.1889,11651,water
487,33.9001,-117.82905,20471,water
489,37.6508,-120.4706,6860,water
492,38.824444,-104.833333,1169606,naturalgas
493,38.881389,-104.816944,8037,naturalgas
494,38.855556,-104.933056,20354,water
495,38.841354,-104.973802,1076,water
502,38.055,-102.2004,5,petroleum
505,43.417872,-108.177545,69504,water
506,37.9844,-103.5436,1073,petroleum
508,38.033327,-102.537915,10359,wind
510,38.7903,-122.7559,318272,geothermal
511,37.178979,-104.487492,24,naturalgas
512,38.453191,-107.337483,221259,water
513,40.376771,-105.509665,95294,water
514,38.451753,-107.539299,295791,water
515,40.421031,-105.223804,2006,water
516,39.878805,-106.332725,93802,water
517,40.34408,-105.534308,35205,water
518,40.364996,-105.236032,222616,water
519,40.365056,-105.325074,191968,water
520,39.19366,-108.044088,15693,water
521,39.143808,-108.004777,24430,water
525,40.4856,-107.185,3156780,naturalgas
527,38.2383,-108.5069,417584,coal
531,39.048802,-121.316966,5767,water
533,31.400255,-86.476449,3193339,naturalgas
534,38.850283,-120.381883,10648,water
535,38.652731,-121.393336,3722,naturalgas
537,38.2268,-121.0245,4919,water
539,41.5826,-73.4349,6782,water
540,41.2925,-72.7942,654,petroleum
541,41.659046,-73.491984,37929,water
542,41.0289,-73.5989,4743,petroleum
544,41.209797,-73.108976,6152,petroleum
546,41.4281,-72.1019,49107,naturalgas
547,42.610683,-72.471643,309676,water
550,48.620336,-118.111059,263443,naturalgas
551,41.6651,-72.1221,6366,water
552,41.44842,-73.295321,145192,water
553,41.3833,-73.1714,93171,water
554,41.5725,-72.0458,5042,water
557,41.555425,-72.041829,7727,water
559,41.915312,-72.693616,32155,water
560,41.957272,-73.369297,45744,water
561,41.798943,-73.116267,716,petroleum
562,41.554944,-72.579075,234935,petroleum
563,41.7495,-72.6524,4121,petroleum
564,28.4822,-81.1678,6075239,naturalgas
565,41.776109,-73.120886,607,petroleum
566,41.3107,-72.1677,15840619,nuclear
568,41.1706,-73.1844,832889,petroleum
579,41.828814,-74.131877,3,water
581,41.52679,-72.064935,575,petroleum
583,41.538955,-72.050936,2144,water
584,36.8061,-107.6131,60678,water
585,32.711611,-114.942666,16396,water
586,32.699451,-115.28245,3368,water
589,44.4917,-73.208056,287186,naturalgas
591,39.7302,-75.5371,1223,petroleum
592,39.600408,-75.626811,963,petroleum
593,39.73886,-75.50384,852310,naturalgas
594,38.5857,-75.2341,873060,coal
597,39.7283,-75.6289,60,petroleum
599,39.176222,-75.546628,33479,naturalgas
602,39.18,-76.5389,4758982,coal
607,48.4558,-122.4358,67546,naturalgas
609,28.4698,-80.7644,6845355,naturalgas
612,26.6967,-81.7831,8843734,naturalgas
613,26.0686,-80.1984,4559518,naturalgas
617,26.0856,-80.1253,8545,naturalgas
619,26.7653,-80.0525,4826933,naturalgas
620,28.8419,-81.3256,9206252,naturalgas
621,25.4356,-80.3308,183712,naturalgas
622,47.699167,-121.783333,63313,water
624,27.579444,-81.492778,2500,naturalgas
625,42.9126,-73.6805,85688,water
626,40.07531,-121.16143,5795,water
627,27.758056,-82.635278,6281,petroleum
628,28.9656,-82.6977,11760275,coal
629,28.869577,-81.273957,8843,petroleum
630,28.003262,-82.661507,6034,naturalgas
632,38.835182,-121.092982,7369,water
634,27.859535,-82.601759,6807183,naturalgas
637,28.541515,-81.254067,84,petroleum
638,30.376389,-83.180556,524963,naturalgas
641,30.5661,-87.2244,3469284,naturalgas
642,30.6692,-84.8869,31637,petroleum
643,30.2686,-85.7003,4506287,naturalgas
645,27.7944,-82.4036,101,naturalgas
649,33.1427,-81.7625,18060190,nuclear
663,29.7592,-82.3878,887465,naturalgas
664,29.6461,-82.3208,242833,naturalgas
665,25.4756,-80.47,14227,naturalgas
666,30.364818,-81.625967,37302,naturalgas
667,30.4172,-81.5525,3709208,naturalgas
673,26.612767,-80.0677,13649,naturalgas
675,28.0797,-81.9228,5040,naturalgas
676,28.0801,-81.9229,2201581,naturalgas
678,44.625282,-72.530859,804,water
682,37.071846,-119.558008,140573,water
683,28.493232,-80.780124,13942,naturalgas
688,30.4522,-84.4,1535992,naturalgas
689,30.162304,-84.200673,1255693,naturalgas
690,30.708571,-84.863869,191509,water
692,41.835278,-106.242778,10317,wind
693,27.633382,-80.377551,18026,naturalgas
696,24.710833,-81.0927,280,petroleum
698,40.0786,-93.635,73,petroleum
702,32.661976,-85.091552,359931,water
703,34.1256,-84.9222,15975305,coal
704,34.7939,-83.5406,17313,water
706,31.6028,-84.1376,29223,water
707,32.60965,-85.0805,138630,water
708,34.2528,-85.3456,1130526,coal
709,33.195,-83.2983,2537860,coal
710,33.8239,-84.4758,17021657,naturalgas
711,32.813836,-85.167786,3,water
712,33.320773,-83.841922,65245,water
714,39.893491,-121.59338,1542,water
715,31.213645,-81.546165,7004,petroleum
717,33.9684,-84.3827,36850,water
718,34.755269,-83.501073,10614,water
719,32.498791,-84.995585,113122,water
720,32.5163,-84.9969,197805,water
722,33.1403,-83.2028,104753,water
723,34.731332,-83.375475,117685,water
724,34.7504,-83.4063,34879,water
725,34.7133,-83.3519,87878,water
727,31.444728,-84.134696,73110,petroleum
728,33.4622,-84.8986,716054,naturalgas
729,34.681477,-83.342642,40915,water
732,32.0411,-81.145,33,naturalgas
733,32.1486,-81.1458,591906,naturalgas
736,33.562644,-82.051242,80471,water
745,34.10345,-117.5257,3,water
751,37.816447,-120.312033,3,water
